Timestamp,Campaign ID,Campaign Name,Ad Group ID,Ad Group Name,Keyword ID,Keyword Text,Match Type,Current Status
2025-11-18 Before Changes,19534201089,DEV | Properties CE | Chatsworth Escapes Self Catering,166550831202,Search - Peak District Cottages,306651029886,luxurious cottage,EXACT,ENABLED
2025-11-18 Before Changes,19534201089,DEV | Properties CE | Chatsworth Escapes Self Catering,166550831202,Search - Peak District Cottages,10962031,peak district holiday cottages,BROAD,ENABLED
2025-11-18 Before Changes,19534201089,DEV | Properties CE | Chatsworth Escapes Self Catering,145260755676,Search - Chatsworth Self Catering,1380829512457,chatsworth cottages dog friendly,BROAD,ENABLED
2025-11-18 Before Changes,19534201089,DEV | Properties CE | Chatsworth Escapes Self Catering,145260755676,Search - Chatsworth Self Catering,917393278508,chatsworth estate cottages to rent,BROAD,ENABLED
2025-11-18 Before Changes,19534201089,DEV | Properties CE | Chatsworth Escapes Self Catering,150965357731,Search - Chatsworth Estate Cottages,413933579267,chatsworth estate holiday cottages,EXACT,ENABLED
2025-11-18 Before Changes,21839323410,DEV | Properties CE | Cavendish,170844309513,Search - Cavendish Hotel Baslow,3345816867,bed and breakfast baslow,BROAD,ENABLED
2025-11-18 Before Changes,21839323410,DEV | Properties CE | Cavendish,170844309513,Search - Cavendish Hotel Baslow,98402665,country hotels uk,EXACT,ENABLED
2025-11-18 Before Changes,21839323410,DEV | Properties CE | Cavendish,170844309513,Search - Cavendish Hotel Baslow,2276232358722,cavendish house derbyshire,EXACT,ENABLED
2025-11-18 Before Changes,19654308682,DEV | Properties | Chatsworth Escapes Locations,145493058603,Search - Peak District Hotels,304623178555,luxury hotels peak district,EXACT,ENABLED
2025-11-18 Before Changes,19654308682,DEV | Properties | Chatsworth Escapes Locations,145493059123,Search - North Peak District Hotels,317490987350,holidays in derbyshire peak district,BROAD,ENABLED
2025-11-18 Before Changes,19654308682,DEV | Properties | Chatsworth Escapes Locations,145493059123,Search - North Peak District Hotels,63014168166,peak district getaways,BROAD,ENABLED
2025-11-18 Before Changes,19654308682,DEV | Properties | Chatsworth Escapes Locations,145493058603,Search - Peak District Hotels,115031994,hotel peak district,BROAD,ENABLED
2025-11-18 Before Changes,2080736142,DEV | Properties CE | Chatsworth Escapes Inns & Hotels,146207784658,Search - Chatsworth Estate Pubs,1014592284223,chatsworth pubs with rooms,BROAD,ENABLED
2025-11-18 Before Changes,2080736142,DEV | Properties CE | Chatsworth Escapes Inns & Hotels,146207784658,Search - Chatsworth Estate Pubs,13955850421,accommodation near chatsworth house,EXACT,ENABLED
2025-11-18 Before Changes,22539873565,DEV | Properties CE | The Beeley Inn,180093078420,Search - Beeley Hotel,361193543647,hotels in beeley,BROAD,ENABLED
2025-11-18 Before Changes,19534106385,DEV | Properties CE | The Pilsley Inn,147580845240,Search - Pilsley Hotels,1930396696270,pilsley pubs,BROAD,ENABLED
