item_id,product_title,product_category,impressions_last_30_days,price_range
1029352,48-Hour Travel Bag In Ludlow In Navy,Travel Bag,31165,High (£1695)
1203615,Travel Bag in Norton Canvas,Travel Bag,16402,Mid (£1195)
1204280,Small Soft Travel Bag In Ludlow In Dark Taupe,Travel Bag,7076,Mid (£1395)
1203614,Small Travel Bag in Norton Canvas,Travel Bag,6578,Low (£895)
1205209,Travel Bag in Stamp Canvas,Travel Bag,6181,Mid (£1250)
1204046,Colour Block Travel Bag in Norton Canvas,Travel Bag,5118,Mid (£1195)
1205201,Small Travel Bag in Stamp Canvas,Travel Bag,4494,Low (£895)
1204282,Soft Travel Bag In Ludlow In Dark Taupe,Travel Bag,3513,Mid (£1595)
1029347,48-Hour Travel Bag In Ludlow In Black,Travel Bag,3002,High (£1695)
1204278,Small Soft Travel Bag In Ludlow In Black,Travel Bag,1833,Mid (£1395)
1027757,Zip Around Backpack In Panama In Navy,Backpack,62404,Mid (£1195)
1204222,Zip Around Backpack In Ludlow In Bottle Green,Backpack,15113,Mid (£1195)
1027759,Zip Around Backpack In Panama In Black,Backpack,14632,Mid (£1195)
1204044,Colour Block Backpack in Norton Canvas,Backpack,5623,Mid (£995)
1204529,Backpack in Norton Canvas,Backpack,5222,Mid (£995)
1201053,Compact Backpack In Ludlow In Black,Backpack,498,Low (£850)
1204220,Zip Around Backpack In Ludlow In Black,Backpack,369,Mid (£1195)
1202245,Compact Backpack In Ludlow In Dark Khaki,Backpack,330,Low (£850)
1204221,Zip Around Backpack In Ludlow In Navy,Backpack,290,Mid (£1195)
1204928,Zip Around Backpack In Panama In Fawn,Backpack,200,Mid (£1195)
1029379,Zip Around Backpack In Ludlow In Navy,Backpack,163,Mid (£1195)
1204530,Travel Pouch in Norton Canvas,Pouch,18,Low
1205202,Travel Pouch in Stamp Canvas,Pouch,13,Low
1204531,Crossbody Bag in Norton Canvas,Crossbody Bag,34,Mid
