id,promotion_id
1011427,BF2025_BOOKS_20
1022083,BF2025_BOOKS_20
1029342,BF2025_BOOKS_20
1030148,BF2025_BOOKS_20
1201609,BF2025_BOOKS_20
1203029,BF2025_BOOKS_20
1203046,BF2025_BOOKS_20
1203837,BF2025_BOOKS_20
1204568,BF2025_BOOKS_20
1204569,BF2025_BOOKS_20
1204572,BF2025_BOOKS_20
1204573,BF2025_BOOKS_20
1204593,BF2025_BOOKS_20
1204608,BF2025_BOOKS_20
1204708,BF2025_BOOKS_20
1204723,BF2025_BOOKS_20
1204724,BF2025_BOOKS_20
1204725,BF2025_BOOKS_20
1204728,BF2025_BOOKS_20
1204729,BF2025_BOOKS_20
1204731,BF2025_BOOKS_20
1204735,BF2025_BOOKS_20
1204737,BF2025_BOOKS_20
1204741,BF2025_BOOKS_20
1204743,BF2025_BOOKS_20
1204748,BF2025_BOOKS_20
1204750,BF2025_BOOKS_20
1204752,BF2025_BOOKS_20
1204755,BF2025_BOOKS_20
1204760,BF2025_BOOKS_20
1204765,BF2025_BOOKS_20
1204769,BF2025_BOOKS_20
1204772,BF2025_BOOKS_20
1204773,BF2025_BOOKS_20
1204787,BF2025_BOOKS_20
1204788,BF2025_BOOKS_20
1204792,BF2025_BOOKS_20
1204796,BF2025_BOOKS_20
1204799,BF2025_BOOKS_20
1204800,BF2025_BOOKS_20
1204803,BF2025_BOOKS_20
1204804,BF2025_BOOKS_20
1204807,BF2025_BOOKS_20
1204812,BF2025_BOOKS_20
1204820,BF2025_BOOKS_20
1204987,BF2025_BOOKS_20
1204990,BF2025_BOOKS_20
1204992,BF2025_BOOKS_20
1204995,BF2025_BOOKS_20
1205002,BF2025_BOOKS_20
1205005,BF2025_BOOKS_20
1205006,BF2025_BOOKS_20
1205049,BF2025_BOOKS_20
1205050,BF2025_BOOKS_20
1205054,BF2025_BOOKS_20
1205061,BF2025_BOOKS_20
1205067,BF2025_BOOKS_20
1205138,BF2025_BOOKS_20
1205139,BF2025_BOOKS_20
1205140,BF2025_BOOKS_20
1205149,BF2025_BOOKS_20
1205150,BF2025_BOOKS_20
1205193,BF2025_BOOKS_20
1205203,BF2025_BOOKS_20
1205240,BF2025_BOOKS_20
1205646,BF2025_BOOKS_20
