Asset ID,Asset Group,Asset Group ID,Type,Current Text,Action,New Text (EDIT THIS),Char Count,Status,Reason
250382365649,Anniversary Ads,6443046142,HEADLINE,Gifts That Actually Last,REPLACE,Anniversary Rose Bush Gifts,26,PENDING,Generic; no conversions (£85 spent)
250382365640,Anniversary Ads,6443046142,HEADLINE,Gifts That Grow & Bloom,REPLACE,Living Anniversary Tree Gifts,29,PENDING,Generic; no conversions (£60 spent)
250382365655,Anniversary Ads,6443046142,HEADLINE,Sustainable Rose Bush Gifts,REPLACE,Tree2mydoor Anniversary Roses,29,PENDING,No conversions (£33 spent)
250382365652,Anniversary Ads,6443046142,HEADLINE,Living Anniversary Gifts,REPLACE,Trees For Every Anniversary,27,PENDING,No conversions (£46 spent)
250382365643,Anniversary Ads,6443046142,HEADLINE,Scrap The Cut Flowers,REPLACE,Rose Bushes That Last Forever,29,PENDING,Negative framing; no conversions (£44 spent)
250382365646,Anniversary Ads,6443046142,HEADLINE,Roses For All Anniversaries,REPLACE,Anniversary Roses - Since 2003,30,PENDING,Poor ROAS: 17% (£51 spent £8.50 value)
,,,,,,,,,,
60317720069,Olive Tree Competitors,6519856317,DESCRIPTION,Our Potted Olive Tree Gifts Are Perfect For The Patio Or Conservatory,REPLACE,Olive trees for gardens patios & balconies. Gift wrapped. Next day UK delivery.,87,PENDING,Too limiting; 76k impressions 0 conversions
60317720066,Olive Tree Competitors,6519856317,DESCRIPTION,All Our Olive Trees Are Packed With Love & Care,REPLACE,Hardy olive trees producing delicious crops. Expertly grown since 2003.,78,PENDING,Generic; 73k impressions 0 conversions
60317720054,Olive Tree Competitors,6519856317,DESCRIPTION,Sustainable & Ethical Olive Trees Make The Perfect Present - Come And Look,REPLACE,Sustainable olive tree gifts delivered UK-wide. Perfect for lasting memories.,82,PENDING,Too wordy; 66k impressions 0 conversions
250382365634,T2MD | Others & Catchall,6512862094,DESCRIPTION,All our gifts are packed with love & care and presented in a jute bag or gift wrap.,REPLACE,Living trees & plants for lasting memories. Gift wrapped with personalised cards.,88,PENDING,Generic; 50k impressions 0 conversions
