Asset Group,Asset Group ID,Type,New Text (EDIT THIS),Char Count,Priority,Status,Reason/Notes
T2MD | Others & Catchall,6512862094,HEADLINE,Tree2mydoor Living Tree Gifts,29,HIGH,PENDING,Brand name + living emotional hook (proven winner pattern)
Roses,6450483755,HEADLINE,Tree2mydoor Rose Bush Gifts,27,HIGH,PENDING,Brand + specific product (rose bushes = high converters)
T2MD | Others & Catchall,6512862094,HEADLINE,Tree2mydoor - Since 2003,24,HIGH,PENDING,Brand + trust signal (established longevity)
In Memoriam Roses,6455482796,HEADLINE,Memorial & Anniversary Tree Gifts,32,MEDIUM,PENDING,Combines two high-performing occasions
Roses,6450483755,HEADLINE,Birthday Rose Bushes Delivered,30,MEDIUM,PENDING,Occasion + product + delivery (all proven elements)
T2MD | Others & Catchall,6512862094,HEADLINE,Ethical Tree & Plant Gifts,27,MEDIUM,PENDING,Ethical is a proven winner keyword
,,,,,,,,
T2MD | Others & Catchall,6512862094,DESCRIPTION,Perfect for small gardens & patios. 100+ tree rose & plant varieties. Est. 2003.,89,HIGH,PENDING,Addresses space concern + choice + trust
T2MD | Others & Catchall,6512862094,DESCRIPTION,Trees & plants that bloom every anniversary. Gifts that grow more meaningful over time.,90,HIGH,PENDING,Emotional + repeat benefit (anniversary angle proven)
Roses,6450483755,DESCRIPTION,Rose bushes for birthdays anniversaries & memorials. Living gifts that truly last.,87,MEDIUM,PENDING,Multi-occasion + emotional benefit
In Memoriam Roses,6455482796,DESCRIPTION,Memorial trees & rose bushes delivered with care. A living tribute to loved ones.,84,MEDIUM,PENDING,Memorial-specific (high converter) + emotional
